0	0.0	0.0	0	0
82.418	0.0020821	195.077	27	64
164.963	0.00405051	390.153	49.5	125.5
247.397	0.00620276	585.23	70	188.5
329.691	0.00809645	780.307	90	251
412.038	0.009952	975.383	108.5	314
494.378	0.0118493	1170.46	128	377
576.833	0.0137938	1365.54	148	439
659.351	0.015623	1560.61	166	502
741.691	0.0176309	1755.69	184	563
824.035	0.0194876	1950.77	201	625.5
906.129	0.0213563	2145.84	218.5	689.5
988.435	0.0231639	2340.92	235.5	749
1070.96	0.0249738	2536	251	809.5
1153.28	0.0266788	2731.07	266	874
1235.56	0.0284218	2926.15	282	935
1318.03	0.0301651	3121.23	299	998.5
1400.24	0.031883	3316.3	314	1061
1482.64	0.0335376	3511.38	329	1120.5
1564.62	0.0352069	3706.46	344	1183.5
1647.04	0.0368894	3901.53	357.5	1246
1729.33	0.0385161	4096.61	373	1308.5
1811.62	0.0401556	4291.69	386.5	1369.5
1893.94	0.0417642	4486.76	401	1437.5
1976.26	0.0433884	4681.84	415	1499
2058.61	0.0449962	4876.92	429	1561.5
2141	0.0465708	5071.99	442	1629
2223.71	0.0481388	5267.07	455.5	1687.5
2306.18	0.0496605	5462.15	468	1750
2388.66	0.0511971	5657.22	481	1812.5
2470.95	0.0526787	5852.3	494.5	1873
2552.84	0.0541774	6047.38	507.5	1934.5
2635.12	0.0556659	6242.45	519.5	1998.5
2717.88	0.0571651	6437.53	533	2060
2799.97	0.0586175	6632.61	545	2122
2882.37	0.0600543	6827.68	557	2185.5
2964.77	0.0614607	7022.76	569.5	2249.5
3046.8	0.0628859	7217.84	579.5	2311
3128.95	0.0642578	7412.91	590	2376
3211.28	0.0656845	7607.99	601	2439.5
3293.77	0.0670807	7803.07	612.5	2500.5
3376.49	0.0684797	7998.14	623.5	2562.5
3458.89	0.0698269	8193.22	634	2625
3541.25	0.0712011	8388.3	644.5	2686
3623.67	0.0725484	8583.37	657	2745.5
3706.15	0.0738887	8778.45	668.5	2813
3788.48	0.0752267	8973.53	678	2874.5
3871.13	0.0765636	9168.6	689	2937.5
3953.34	0.0778769	9363.68	699	3003
4035.85	0.0791536	9558.76	709.5	3064.5
4117.62	0.0803962	9753.83	718	3131.5
4199.91	0.0816379	9948.91	729.5	3198.5
4282.32	0.0829009	10144	739	3262
4364.77	0.0841506	10339.1	749	3322
4447.23	0.0853893	10534.1	759.5	3379.5
4529.28	0.0866069	10729.2	768.5	3443.5
4611.44	0.087792	10924.3	779	3508
4693.84	0.0889931	11119.4	787.5	3578
4776.01	0.0901988	11314.4	796	3638.5
4858.5	0.0914037	11509.5	805	3705
4940.69	0.0925947	11704.6	814	3761
5022.85	0.0937626	11899.7	823.5	3818
5105.21	0.0949293	12094.8	833	3882.5
5187.25	0.0960592	12289.8	840.5	3944
5269.82	0.0972283	12484.9	851	4005.5
5352.12	0.0983499	12680	860	4067
5434.52	0.0994719	12875.1	870	4136.5
5516.98	0.100589	13070.1	876.5	4195.5
5599.11	0.101696	13265.2	884.5	4255.5
5681.5	0.102797	13460.3	895.5	4314.5
5763.81	0.103883	13655.4	903	4374.5
5846.75	0.10499	13850.4	911	4435
5928.97	0.106063	14045.5	918.5	4494.5
6011.46	0.107116	14240.6	927.5	4551
6093.91	0.108216	14435.7	936	4622.5
6176.52	0.109268	14630.8	942	4685.5
6258.59	0.110309	14825.8	951	4749.5
6340.84	0.111335	15020.9	957	4816
6423.2	0.112374	15216	964	4871
6505.61	0.113389	15411.1	972	4926
6587.94	0.114414	15606.1	980	4995
6670.27	0.115424	15801.2	986	5053.5
6752.54	0.116441	15996.3	993	5121
6834.91	0.117453	16191.4	1002.5	5184
6917.31	0.118449	16386.4	1009	5245.5
6999.62	0.119438	16581.5	1016.5	5307.5
7081.94	0.120411	16776.6	1023.5	5380
7164.09	0.121373	16971.7	1030	5433
7246.45	0.122346	17166.7	1036	5491
7328.77	0.123318	17361.8	1043.5	5559.5
7410.98	0.124283	17556.9	1052	5622
7493.12	0.125219	17752	1059	5678.5
7575.76	0.126164	17947.1	1068	5740.5
7658.03	0.127093	18142.1	1077	5807
7740.34	0.128025	18337.2	1082	5875
7822.75	0.128947	18532.3	1089.5	5941
7905.36	0.129877	18727.4	1095	6003
7987.73	0.130782	18922.4	1101.5	6067.5
8070.33	0.131691	19117.5	1106.5	6128
8152.75	0.1326	19312.6	1113.5	6194
8235.47	0.133504	19507.7	1118	6256.5
8317.73	0.134399	19702.7	1126	6322.5
8400.16	0.13528	19897.8	1133	6383
8482.39	0.136161	20092.9	1138	6445
8564.85	0.137035	20288	1143	6508.5
8646.97	0.137888	20483.1	1151	6566
8728.85	0.138745	20678.1	1155.5	6632.5
8811.23	0.139622	20873.2	1160.5	6692
8893.3	0.140486	21068.3	1166.5	6757
8975.89	0.141333	21263.4	1173.5	6824
9058.15	0.142178	21458.4	1179.5	6882
9140.22	0.143005	21653.5	1184	6942
9222.39	0.143844	21848.6	1191.5	7004
9304.4	0.14467	22043.7	1197	7063.5
9386.63	0.145491	22238.7	1202	7128
9468.93	0.146314	22433.8	1208.5	7183.5
9551.11	0.147116	22628.9	1214	7245
9633.65	0.147932	22824	1220	7309
9716	0.148739	23019	1225.5	7371
9798.25	0.149543	23214.1	1232	7433.5
9880.35	0.150334	23409.2	1236	7496.5
9962.65	0.151119	23604.3	1241.5	7557
10044.7	0.151909	23799.4	1247	7619.5
10127	0.152684	23994.4	1251	7679.5
10209.4	0.153476	24189.5	1258	7752
10291.9	0.154251	24384.6	1263	7815.5
10374.2	0.155035	24579.7	1267	7879
